# 2-D lattice chase-escape (trail-confined detection): finite-size scan.
# rho = lambda_r/lambda_b; trials per point = 200; seed = 42.
L,rho,mean_frac,p_runaway
48,0.300,0.00721,0.0350
48,0.325,0.01246,0.0800
48,0.350,0.02024,0.1450
48,0.375,0.03128,0.1800
48,0.400,0.04410,0.2000
48,0.425,0.06860,0.2550
48,0.450,0.14311,0.3200
48,0.475,0.19228,0.3550
48,0.500,0.26040,0.4000
48,0.525,0.32632,0.4350
48,0.550,0.38829,0.4750
48,0.575,0.44267,0.5200
48,0.600,0.45592,0.5200
48,0.625,0.49447,0.5500
48,0.650,0.52241,0.5700
48,0.675,0.56766,0.6100
48,0.700,0.58308,0.6200
48,0.725,0.60456,0.6350
48,0.750,0.62913,0.6550
96,0.300,0.00157,0.0000
96,0.325,0.00281,0.0050
96,0.350,0.00358,0.0000
96,0.375,0.00697,0.0350
96,0.400,0.01265,0.1000
96,0.425,0.03166,0.1650
96,0.450,0.06309,0.2100
96,0.475,0.11501,0.2650
96,0.500,0.25278,0.4000
96,0.525,0.33498,0.4500
96,0.550,0.39473,0.4900
96,0.575,0.44696,0.5300
96,0.600,0.47052,0.5400
96,0.625,0.49147,0.5500
96,0.650,0.51995,0.5700
96,0.675,0.54302,0.5850
96,0.700,0.56545,0.6000
96,0.725,0.58083,0.6100
96,0.750,0.60068,0.6250
144,0.300,0.00076,0.0000
144,0.325,0.00092,0.0000
144,0.350,0.00166,0.0000
144,0.375,0.00248,0.0050
144,0.400,0.00589,0.0250
144,0.425,0.01436,0.0900
144,0.450,0.03031,0.1500
144,0.475,0.10110,0.2750
144,0.500,0.21836,0.3600
144,0.525,0.29231,0.4000
144,0.550,0.36481,0.4550
144,0.575,0.40044,0.4750
144,0.600,0.42680,0.4900
144,0.625,0.47423,0.5300
144,0.650,0.50663,0.5550
144,0.675,0.56151,0.6050
144,0.700,0.57925,0.6150
144,0.725,0.59973,0.6300
144,0.750,0.60597,0.6300
